Latitude,Longitude,Nationality,Year,LogbookLanguage,VoyageIni
34.3167,-32.05,Spanish,1781,Spanish,1.78E+07
36.1833,-31.9,Spanish,1781,Spanish,1.78E+07
42.5167,-10.6833,Spanish,1771,Spanish,1.77E+07
40.8667,-14.7333,Spanish,1771,Spanish,1.77E+07
37.9833,-16.6333,Spanish,1771,Spanish,1.77E+07
34.8167,-17.6667,Spanish,1771,Spanish,1.77E+07
33.15,-17.65,Spanish,1771,Spanish,1.77E+07
30.0833,-18.1333,Spanish,1771,Spanish,1.77E+07
29.8,-18.3167,Spanish,1771,Spanish,1.77E+07
27.82,-18.35,Spanish,1771,Spanish,1.77E+07
25.8333,-18.3833,Spanish,1771,Spanish,1.77E+07
22.6,-19,Spanish,1771,Spanish,1.77E+07
19.3667,-19.65,Spanish,1771,Spanish,1.77E+07
16.8,-20.25,Spanish,1771,Spanish,1.77E+07
14.45,-20.3,Spanish,1771,Spanish,1.77E+07
13,-20.15,Spanish,1771,Spanish,1.77E+07
11.4,-20.1833,Spanish,1771,Spanish,1.77E+07
10.3333,-20.2167,Spanish,1771,Spanish,1.77E+07
8.63333,-20.2667,Spanish,1771,Spanish,1.77E+07
7.46667,-20.25,Spanish,1771,Spanish,1.77E+07
6.7,-19.8,Spanish,1771,Spanish,1.77E+07
6.61667,-21.4833,Spanish,1771,Spanish,1.77E+07
5.8,-22.3,Spanish,1771,Spanish,1.77E+07
4.66667,-23.9,Spanish,1771,Spanish,1.77E+07
4,-23.8167,Spanish,1771,Spanish,1.77E+07
3.85,-22.8167,Spanish,1771,Spanish,1.77E+07
2.51667,-24.1,Spanish,1771,Spanish,1.77E+07
2.23333,-23.3667,Spanish,1771,Spanish,1.77E+07
1.9,-22.95,Spanish,1771,Spanish,1.77E+07
1,-22.7,Spanish,1771,Spanish,1.77E+07
0.75,-22.5667,Spanish,1771,Spanish,1.77E+07
-1.03333,-23.7667,Spanish,1771,Spanish,1.77E+07
-2.48333,-24.2667,Spanish,1771,Spanish,1.77E+07
-2.66667,-23.9333,Spanish,1771,Spanish,1.77E+07
-4.16667,-24.7833,Spanish,1771,Spanish,1.77E+07
-5.73333,-25.7,Spanish,1771,Spanish,1.77E+07
-7.1,-26.6667,Spanish,1771,Spanish,1.77E+07
-7.18333,-25.9,Spanish,1771,Spanish,1.77E+07
-8.41667,-26.9667,Spanish,1771,Spanish,1.77E+07
-10.5167,-27.6833,Spanish,1771,Spanish,1.77E+07
-12.1667,-28.2,Spanish,1771,Spanish,1.77E+07
-14.6333,-28.5,Spanish,1771,Spanish,1.77E+07
-16.6833,-29.3833,Spanish,1771,Spanish,1.77E+07
-17.9833,-29.4167,Spanish,1771,Spanish,1.77E+07
-18.2167,-29.4167,Spanish,1771,Spanish,1.77E+07
-19.1,-30.4167,Spanish,1771,Spanish,1.77E+07
-19.7667,-31.2333,Spanish,1771,Spanish,1.77E+07
-20.6,-31.1667,Spanish,1771,Spanish,1.77E+07
-21.1833,-31.1,Spanish,1771,Spanish,1.77E+07
-22.3,-31.0167,Spanish,1771,Spanish,1.77E+07
-23.6833,-30.9833,Spanish,1771,Spanish,1.77E+07
-24.6667,-31.0167,Spanish,1771,Spanish,1.77E+07
-26.45,-31.3667,Spanish,1771,Spanish,1.77E+07
-27.65,-30.85,Spanish,1771,Spanish,1.77E+07
-27,-31.7333,Spanish,1771,Spanish,1.77E+07
-27.3,-33.3167,Spanish,1771,Spanish,1.77E+07
-27.5167,-34.2,Spanish,1771,Spanish,1.77E+07
-27.5167,-34.2,Spanish,1771,Spanish,1.77E+07
-27.9833,-34.4333,Spanish,1771,Spanish,1.77E+07
-28.2167,-34.9833,Spanish,1771,Spanish,1.77E+07
-29.55,-36.45,Spanish,1771,Spanish,1.77E+07
-31.4833,-38.2333,Spanish,1771,Spanish,1.77E+07
-33.0167,-37.9333,Spanish,1771,Spanish,1.77E+07
-34.7833,-37.5833,Spanish,1771,Spanish,1.77E+07
-35.2167,-39.2167,Spanish,1771,Spanish,1.77E+07
-35.2833,-39.6833,Spanish,1771,Spanish,1.77E+07
-35.6667,-39.85,Spanish,1771,Spanish,1.77E+07
-35.65,-49.3,Spanish,1771,Spanish,1.77E+07
-34.9,-39.5333,Spanish,1771,Spanish,1.77E+07
-33.85,-41.65,Spanish,1771,Spanish,1.77E+07
-33.9833,-42.5,Spanish,1771,Spanish,1.77E+07
-34.5833,-43.3667,Spanish,1771,Spanish,1.77E+07
-34.9,-45.1,Spanish,1771,Spanish,1.77E+07
-35.1833,-46.8,Spanish,1771,Spanish,1.77E+07
-35.9667,-47.3833,Spanish,1771,Spanish,1.77E+07
-36.4333,-47.9,Spanish,1771,Spanish,1.77E+07
-35.55,-48.3,Spanish,1771,Spanish,1.77E+07
-34.95,-49.7,Spanish,1771,Spanish,1.77E+07
-35.15,-49.95,Spanish,1771,Spanish,1.77E+07
-35.0333,-50.6667,Spanish,1771,Spanish,1.77E+07
-35.15,-52.1667,Spanish,1771,Spanish,1.77E+07
-35.2333,-52.65,Spanish,1771,Spanish,1.77E+07
-35.1,-50.2667,Spanish,1771,Spanish,1.77E+07
-34.8333,-47.75,Spanish,1771,Spanish,1.77E+07
-33.95,-45.9333,Spanish,1771,Spanish,1.77E+07
-32.7,-45.15,Spanish,1771,Spanish,1.77E+07
-32.8333,-43.0833,Spanish,1771,Spanish,1.77E+07
-32.0167,-42.1,Spanish,1771,Spanish,1.77E+07
-31.75,-41.6667,Spanish,1771,Spanish,1.77E+07
-30.2833,-39.45,Spanish,1771,Spanish,1.77E+07
-28.2,-37.1167,Spanish,1771,Spanish,1.77E+07
-26.7333,-35,Spanish,1771,Spanish,1.77E+07
-25.95,-33.6833,Spanish,1771,Spanish,1.77E+07
-24,-33.1667,Spanish,1771,Spanish,1.77E+07
-22.9667,-32.6167,Spanish,1771,Spanish,1.77E+07
-22.9333,-31.5,Spanish,1771,Spanish,1.77E+07
-22.0667,-29.9833,Spanish,1771,Spanish,1.77E+07
-21.3833,-29.75,Spanish,1771,Spanish,1.77E+07
-21.45,-29.0833,Spanish,1771,Spanish,1.77E+07
-21.1,-28.65,Spanish,1771,Spanish,1.77E+07
-20.0667,-31,Spanish,1771,Spanish,1.77E+07
-19.55,-30.85,Spanish,1771,Spanish,1.77E+07
-19,-30.8,Spanish,1771,Spanish,1.77E+07
-17.7,-31.2667,Spanish,1771,Spanish,1.77E+07
-16.25,-31.2167,Spanish,1771,Spanish,1.77E+07
-14.7,-30.8833,Spanish,1771,Spanish,1.77E+07
-13.1,-30.75,Spanish,1771,Spanish,1.77E+07
-11.2333,-30.35,Spanish,1771,Spanish,1.77E+07
-9.25,-29.7167,Spanish,1771,Spanish,1.77E+07
-7.16667,-28.9333,Spanish,1771,Spanish,1.77E+07
-5.25,-28.05,Spanish,1771,Spanish,1.77E+07
-2.91667,-26.9667,Spanish,1771,Spanish,1.77E+07
-0.566667,-26.4667,Spanish,1771,Spanish,1.77E+07
1.55,-25.9167,Spanish,1771,Spanish,1.77E+07
3.33333,-25.85,Spanish,1771,Spanish,1.77E+07
4.16667,-25.85,Spanish,1771,Spanish,1.77E+07
5.78333,-25.95,Spanish,1771,Spanish,1.77E+07
7.08333,-26.4667,Spanish,1771,Spanish,1.77E+07
8.33333,-27.3667,Spanish,1771,Spanish,1.77E+07
9.83333,-28.35,Spanish,1771,Spanish,1.77E+07
10.95,-29.1667,Spanish,1771,Spanish,1.77E+07
13.1167,-30.3833,Spanish,1771,Spanish,1.77E+07
15.05,-31.4,Spanish,1772,Spanish,1.77E+07
16.5333,-32.35,Spanish,1772,Spanish,1.77E+07
18.05,-33.35,Spanish,1772,Spanish,1.77E+07
18.9333,-32.3167,Spanish,1772,Spanish,1.77E+07
20.45,-31.35,Spanish,1772,Spanish,1.77E+07
21.8667,-30.25,Spanish,1772,Spanish,1.77E+07
23.2333,-29.1,Spanish,1772,Spanish,1.77E+07
25.25,-27.5667,Spanish,1772,Spanish,1.77E+07
27.7667,-25.6333,Spanish,1772,Spanish,1.77E+07
29.7833,-23.9167,Spanish,1772,Spanish,1.77E+07
31.5333,-22.85,Spanish,1772,Spanish,1.77E+07
33.8833,-22.4333,Spanish,1772,Spanish,1.77E+07
34.8833,-18.9833,Spanish,1772,Spanish,1.77E+07
36.0833,-17.4667,Spanish,1772,Spanish,1.77E+07
37.4833,-15.8167,Spanish,1772,Spanish,1.77E+07
38.1667,-13.95,Spanish,1772,Spanish,1.77E+07
37.8833,-13.6833,Spanish,1772,Spanish,1.77E+07
37.6667,-14.2833,Spanish,1772,Spanish,1.77E+07
38.3667,-12.8667,Spanish,1772,Spanish,1.77E+07
38.7667,-12.2333,Spanish,1772,Spanish,1.77E+07
39.7167,-11.6833,Spanish,1772,Spanish,1.77E+07
39.8667,-12.1,Spanish,1772,Spanish,1.77E+07
40.1667,-13.1,Spanish,1772,Spanish,1.77E+07
40.9333,-12.05,Spanish,1772,Spanish,1.77E+07
41.45,-11.55,Spanish,1772,Spanish,1.77E+07
41.8,-9.38333,Spanish,1772,Spanish,1.77E+07
42.8333,-7.96667,Spanish,1772,Spanish,1.77E+07
43.1333,-6.88333,Spanish,1772,Spanish,1.77E+07
43.3833,-9.98333,Spanish,1772,Spanish,1.77E+07
43.85,-8.65,Spanish,1775,Spanish,1.78E+07
43.6833,-8.45,Spanish,1775,Spanish,1.78E+07
41.9333,-11.5667,Spanish,1775,Spanish,1.78E+07
39.0333,-13.6,Spanish,1775,Spanish,1.78E+07
37.3,-14,Spanish,1775,Spanish,1.78E+07
36.45,-14.2333,Spanish,1775,Spanish,1.78E+07
34.9167,-14.65,Spanish,1775,Spanish,1.78E+07
32.1,-15.5167,Spanish,1775,Spanish,1.78E+07
30.15,-17.2667,Spanish,1775,Spanish,1.78E+07
28.7167,-17.2833,Spanish,1775,Spanish,1.78E+07
28.0333,-16.8667,Spanish,1775,Spanish,1.78E+07
26.3833,-16.4833,Spanish,1775,Spanish,1.78E+07
25.1,-18.2667,Spanish,1775,Spanish,1.78E+07
22.5333,-19.85,Spanish,1775,Spanish,1.78E+07
20.45,-20.7833,Spanish,1775,Spanish,1.78E+07
18.3667,-20.5,Spanish,1775,Spanish,1.78E+07
16.45,-20.4333,Spanish,1775,Spanish,1.78E+07
14.1333,-20.4167,Spanish,1775,Spanish,1.78E+07
12.0333,-20.5667,Spanish,1775,Spanish,1.78E+07
10.5,-20.8333,Spanish,1775,Spanish,1.78E+07
9.23333,-21.0333,Spanish,1775,Spanish,1.78E+07
7.95,-21.25,Spanish,1775,Spanish,1.78E+07
6.4,-21.55,Spanish,1775,Spanish,1.78E+07
5.58333,-21.6667,Spanish,1775,Spanish,1.78E+07
4.85,-21.8,Spanish,1775,Spanish,1.78E+07
4.43333,-21.4833,Spanish,1775,Spanish,1.78E+07
3.81667,-21.75,Spanish,1775,Spanish,1.78E+07
3.58333,-21.8333,Spanish,1775,Spanish,1.78E+07
2.98333,-21.2333,Spanish,1775,Spanish,1.78E+07
2.5,-20.8833,Spanish,1775,Spanish,1.78E+07
1.75,-20.6833,Spanish,1775,Spanish,1.78E+07
2,-21.6167,Spanish,1775,Spanish,1.78E+07
1.85,-22.6167,Spanish,1775,Spanish,1.78E+07
1.43333,-23.2,Spanish,1775,Spanish,1.78E+07
1.1,-22.4833,Spanish,1775,Spanish,1.78E+07
0.7,-21.65,Spanish,1775,Spanish,1.78E+07
0.216667,-21.8833,Spanish,1775,Spanish,1.78E+07
-0.4,-22.7333,Spanish,1775,Spanish,1.78E+07
-1.96667,-24,Spanish,1775,Spanish,1.78E+07
-3.75,-24.9167,Spanish,1775,Spanish,1.78E+07
-5.58333,-25.6333,Spanish,1775,Spanish,1.78E+07
-7.38333,-26.05,Spanish,1775,Spanish,1.78E+07
-9.45,-26.7333,Spanish,1775,Spanish,1.78E+07
-11.7167,-27.25,Spanish,1775,Spanish,1.78E+07
-13.8667,-27.7833,Spanish,1775,Spanish,1.78E+07
-15.9667,-28.2667,Spanish,1775,Spanish,1.78E+07
-17.9,-29,Spanish,1775,Spanish,1.78E+07
-19.0667,-29.4333,Spanish,1775,Spanish,1.78E+07
-20.0167,-30.5333,Spanish,1775,Spanish,1.78E+07
-22.0833,-31.4667,Spanish,1775,Spanish,1.78E+07
-23.7833,-32.2167,Spanish,1775,Spanish,1.78E+07
-25.9,-33.2833,Spanish,1775,Spanish,1.78E+07
-26.7,-33.7,Spanish,1775,Spanish,1.78E+07
-27.2667,-34.6667,Spanish,1775,Spanish,1.78E+07
-27.2667,-35.3333,Spanish,1775,Spanish,1.78E+07
-28.5,-36.0667,Spanish,1775,Spanish,1.78E+07
-29.0667,-36.7667,Spanish,1775,Spanish,1.78E+07
-29.8,-37.5833,Spanish,1775,Spanish,1.78E+07
-30.1167,-37.8667,Spanish,1775,Spanish,1.78E+07
-30.7833,-38.6167,Spanish,1775,Spanish,1.78E+07
-31.75,-39.7833,Spanish,1775,Spanish,1.78E+07
-33.0333,-41.7167,Spanish,1775,Spanish,1.78E+07
-34.65,-44.4167,Spanish,1775,Spanish,1.78E+07
-35.4667,-47.3167,Spanish,1775,Spanish,1.78E+07
-35.2333,-47.5167,Spanish,1775,Spanish,1.78E+07
-35.2667,-47.8333,Spanish,1775,Spanish,1.78E+07
-36.05,-49.4333,Spanish,1775,Spanish,1.78E+07
-36.1333,-49.6667,Spanish,1775,Spanish,1.78E+07
-36.3,-50.2,Spanish,1775,Spanish,1.78E+07
-35.7667,-50.2167,Spanish,1775,Spanish,1.78E+07
-35.45,-51.0167,Spanish,1775,Spanish,1.78E+07
-35.35,-52.1333,Spanish,1775,Spanish,1.78E+07
-35.6833,-53.6833,Spanish,1775,Spanish,1.78E+07
-35.2667,-55.0333,Spanish,1775,Spanish,1.78E+07
-35.4167,-53.3667,Spanish,1775,Spanish,1.78E+07
-35.65,-54.0667,Spanish,1775,Spanish,1.78E+07
-36,-52.35,Spanish,1775,Spanish,1.78E+07
-36.7333,-51.4833,Spanish,1775,Spanish,1.78E+07
37.0833,-27.4833,Spanish,1776,Spanish,1.78E+07
36.1167,-26.0167,Spanish,1776,Spanish,1.78E+07
36.3833,-23.2833,Spanish,1776,Spanish,1.78E+07
36.8667,-24.3333,Spanish,1776,Spanish,1.78E+07
37.1,-22.5167,Spanish,1776,Spanish,1.78E+07
37.7667,-20.8,Spanish,1776,Spanish,1.78E+07
38.5667,-19.2167,Spanish,1776,Spanish,1.78E+07
38.75,-17.8667,Spanish,1776,Spanish,1.78E+07
39.8667,-15.85,Spanish,1776,Spanish,1.78E+07
39.5667,-15.0833,Spanish,1776,Spanish,1.78E+07
39.1,-15.3,Spanish,1776,Spanish,1.78E+07
41.0333,-15.15,Spanish,1776,Spanish,1.78E+07
43.2167,-14.8333,Spanish,1776,Spanish,1.78E+07
43.6667,-13.1167,Spanish,1776,Spanish,1.78E+07
43.3167,-11.9,Spanish,1776,Spanish,1.78E+07
43.3167,-11.0167,Spanish,1776,Spanish,1.78E+07
43.75,-8.98333,Spanish,1776,Spanish,1.78E+07
43.95,-9.71667,Spanish,1776,Spanish,1.78E+07
41.7,-11.7667,Spanish,1776,Spanish,1.78E+07
38.3,-14.0667,Spanish,1776,Spanish,1.78E+07
36.0667,-14.3,Spanish,1776,Spanish,1.78E+07
34.2,-14.45,Spanish,1776,Spanish,1.78E+07
31.9833,-14.5667,Spanish,1776,Spanish,1.78E+07
31.0167,-14.6333,Spanish,1776,Spanish,1.78E+07
30.6667,-14.7667,Spanish,1776,Spanish,1.78E+07
30.1333,-14.9,Spanish,1776,Spanish,1.78E+07
29.4667,-15.6167,Spanish,1776,Spanish,1.78E+07
28.1333,-15.4,Spanish,1776,Spanish,1.78E+07
26.7333,-16.4,Spanish,1776,Spanish,1.78E+07
26.7333,-18.1,Spanish,1776,Spanish,1.78E+07
23.9667,-19.75,Spanish,1776,Spanish,1.78E+07
21.4833,-20.4833,Spanish,1776,Spanish,1.78E+07
18.7333,-20.5333,Spanish,1776,Spanish,1.78E+07
16.2,-20.6167,Spanish,1776,Spanish,1.78E+07
14.25,-20.6833,Spanish,1776,Spanish,1.78E+07
12.3,-20.7833,Spanish,1776,Spanish,1.78E+07
10.6,-20.7667,Spanish,1776,Spanish,1.78E+07
9.48333,-20.7833,Spanish,1776,Spanish,1.78E+07
8.48333,-20.8833,Spanish,1776,Spanish,1.78E+07
7.2,-21,Spanish,1776,Spanish,1.78E+07
5.71667,-21.1667,Spanish,1776,Spanish,1.78E+07
5.2,-21.2,Spanish,1776,Spanish,1.78E+07
4.65,-21.15,Spanish,1776,Spanish,1.78E+07
4.13333,-21.2833,Spanish,1776,Spanish,1.78E+07
3.41667,-20.6833,Spanish,1776,Spanish,1.78E+07
2.95,-20.8167,Spanish,1776,Spanish,1.78E+07
2.4,-20.8833,Spanish,1776,Spanish,1.78E+07
1.43333,-21.7,Spanish,1776,Spanish,1.78E+07
0.0666667,-22.3167,Spanish,1776,Spanish,1.78E+07
-1.4,-22.5667,Spanish,1776,Spanish,1.78E+07
-2.5,-23.55,Spanish,1776,Spanish,1.78E+07
-3.78333,-24.3167,Spanish,1776,Spanish,1.78E+07
