Latitude,Longitude,Nationality,Year,LogbookLanguage,VoyageIni
13.1667,92.3,British,1751,English,1.75E+07
13.5667,92.3167,British,1751,English,1.75E+07
65.6833,0.816668,Dutch,1790,Dutch,1.79E+07
66.4333,0.75,Dutch,1790,Dutch,1.79E+07
67.3167,-0.133333,Dutch,1790,Dutch,1.79E+07
68.1,-0.516666,Dutch,1790,Dutch,1.79E+07
69.15,1.31667,Dutch,1790,Dutch,1.79E+07
69.9,0.516666,Dutch,1790,Dutch,1.79E+07
5.01667,-49.7167,Dutch,1763,Dutch,1.76E+07
4.43333,-50.5,Dutch,1763,Dutch,1.76E+07
33.1333,-45.65,Dutch,1764,Dutch,1.76E+07
34.3833,-45.2667,Dutch,1764,Dutch,1.76E+07
35.7833,-44.85,Dutch,1764,Dutch,1.76E+07
36.3667,-44.15,Dutch,1764,Dutch,1.76E+07
37.6167,-42.6333,Dutch,1764,Dutch,1.76E+07
53.7333,3.11667,Dutch,1788,Dutch,1.79E+07
64.1,1.23333,Dutch,1788,Dutch,1.79E+07
68.6333,-1.76667,Dutch,1791,Dutch,1.79E+07
67.5,-1.76667,Dutch,1791,Dutch,1.79E+07
55.6,2.53333,Dutch,1791,Dutch,1.79E+07
57.55,2.18333,Dutch,1791,Dutch,1.79E+07
59.2167,2.03333,Dutch,1791,Dutch,1.79E+07
60.25,1.81667,Dutch,1791,Dutch,1.79E+07
60.6333,0.550001,Dutch,1791,Dutch,1.79E+07
61.3833,-0.566666,Dutch,1791,Dutch,1.79E+07
60.8333,0.4,Dutch,1791,Dutch,1.79E+07
60.9833,0.983334,Dutch,1791,Dutch,1.79E+07
60.9833,1.45,Dutch,1791,Dutch,1.79E+07
62.2,-0.366667,Dutch,1791,Dutch,1.79E+07
64.7167,0.466667,Dutch,1791,Dutch,1.79E+07
65,0.283333,Dutch,1791,Dutch,1.79E+07
65.35,0.466667,Dutch,1791,Dutch,1.79E+07
67.8167,1.28333,Dutch,1791,Dutch,1.79E+07
70.6167,2.06667,Dutch,1791,Dutch,1.79E+07
-34.7833,23.05,Dutch,1792,Dutch,1.79E+07
-34.9167,22.2133,Dutch,1792,Dutch,1.79E+07
-34.8667,20.6667,Dutch,1792,Dutch,1.79E+07
-32.7333,17.0167,Dutch,1793,Dutch,1.79E+07
-31.05,15.3167,Dutch,1793,Dutch,1.79E+07
-29.9,14.1,Dutch,1793,Dutch,1.79E+07
-28.8,12.7833,Dutch,1793,Dutch,1.79E+07
-27.6833,11.7667,Dutch,1793,Dutch,1.79E+07
-26.1833,10.1833,Dutch,1793,Dutch,1.79E+07
-24.6,8.48333,Dutch,1793,Dutch,1.79E+07
-23.2333,6.93333,Dutch,1793,Dutch,1.79E+07
-22.2167,5.51667,Dutch,1793,Dutch,1.79E+07
-21.3667,4.33333,Dutch,1793,Dutch,1.79E+07
-20.5,1.8,Dutch,1793,Dutch,1.79E+07
-19.75,1.93333,Dutch,1793,Dutch,1.79E+07
-18.8333,-0.3,Dutch,1793,Dutch,1.79E+07
-17.8667,-0.7,Dutch,1793,Dutch,1.79E+07
-16.9,-2.05,Dutch,1793,Dutch,1.79E+07
-12.6667,-5.86667,Dutch,1793,Dutch,1.79E+07
-14.8,-6.4,Dutch,1793,Dutch,1.79E+07
-13.6833,-6.96667,Dutch,1793,Dutch,1.79E+07
-12.0667,-7.63333,Dutch,1793,Dutch,1.79E+07
50,-25.0167,Dutch,1793,Dutch,1.79E+07
51.2,-24.3333,Dutch,1793,Dutch,1.79E+07
-59.85,-67.2833,Spanish,1781,Spanish,1.78E+07
-58.4833,-66.2833,Spanish,1781,Spanish,1.78E+07
-58.2,-65.5,Spanish,1781,Spanish,1.78E+07
-58.0667,-64.3667,Spanish,1781,Spanish,1.78E+07
-58.0333,-63.7667,Spanish,1781,Spanish,1.78E+07
-58.4667,-65.1333,Spanish,1781,Spanish,1.78E+07
-59.1833,-68,Spanish,1781,Spanish,1.78E+07
-59.7833,-68.2,Spanish,1781,Spanish,1.78E+07
-59.1667,-70.1667,Spanish,1781,Spanish,1.78E+07
-59.3833,-71.6333,Spanish,1781,Spanish,1.78E+07
-59.3833,-74.55,Spanish,1781,Spanish,1.78E+07
-61,-85.2,Spanish,1781,Spanish,1.78E+07
-61.7833,-85.1333,Spanish,1781,Spanish,1.78E+07
-62.0667,-85.6667,Spanish,1781,Spanish,1.78E+07
-62.4,-86.7,Spanish,1781,Spanish,1.78E+07
-52.25,-85.2333,Spanish,1781,Spanish,1.78E+07
-50.5667,-85.5167,Spanish,1781,Spanish,1.78E+07
-50.4667,-86.8333,Spanish,1781,Spanish,1.78E+07
33.6167,-9.45,Spanish,1793,Spanish,1.79E+07
26.8333,-16.8167,Spanish,1793,Spanish,1.79E+07
26.4,-17.4667,Spanish,1793,Spanish,1.79E+07
26.25,-17.95,Spanish,1793,Spanish,1.79E+07
26.6667,-18.55,Spanish,1793,Spanish,1.79E+07
26.5667,-19.1667,Spanish,1793,Spanish,1.79E+07
25.5333,-19.9333,Spanish,1793,Spanish,1.79E+07
44.6667,-134.987,Spanish,1792,Spanish,1.79E+07
46.5,-134.503,Spanish,1792,Spanish,1.79E+07
48.1333,-133.787,Spanish,1792,Spanish,1.79E+07
48.7167,-131.287,Spanish,1792,Spanish,1.79E+07
49.0667,-129.787,Spanish,1792,Spanish,1.79E+07
49.45,-129.32,Spanish,1792,Spanish,1.79E+07
49.7,-128.453,Spanish,1792,Spanish,1.79E+07
49.6667,-127.237,Spanish,1792,Spanish,1.79E+07
49.35,-127.437,Spanish,1792,Spanish,1.79E+07
49.2333,-130.387,Spanish,1792,Spanish,1.79E+07
48.6,-131.553,Spanish,1792,Spanish,1.79E+07
-35.1333,-53.3167,Spanish,1774,Spanish,1.77E+07
-35.4667,-52.9333,Spanish,1774,Spanish,1.77E+07
-37.3,-52.85,Spanish,1774,Spanish,1.77E+07
-40.1667,-54.2833,Spanish,1774,Spanish,1.77E+07
-41.5667,-55.75,Spanish,1774,Spanish,1.77E+07
-42.6167,-57.9333,Spanish,1774,Spanish,1.77E+07
-42.7167,-57.9833,Spanish,1774,Spanish,1.77E+07
-43.85,-60.5833,Spanish,1774,Spanish,1.77E+07
-60.6333,-69,Spanish,1774,Spanish,1.77E+07
-60.2833,-70.5333,Spanish,1775,Spanish,1.77E+07
-60.9333,-71.5,Spanish,1775,Spanish,1.77E+07
-59.3333,-70.8333,Spanish,1775,Spanish,1.77E+07
-58.8,-70.8833,Spanish,1775,Spanish,1.77E+07
-59.1,-70.8333,Spanish,1775,Spanish,1.77E+07
