Latitude,Longitude,Nationality,Year,LogbookLanguage,VoyageIni
-36.4333,-55.2333,Spanish,1774,Spanish,1.77E+07
-35.5333,-54.2833,Spanish,1774,Spanish,1.77E+07
-35.5333,-54.2833,Spanish,1774,Spanish,1.77E+07
-15.1833,-77.4167,Spanish,1790,Spanish,1.79E+07
-14.8333,-76.5833,Spanish,1790,Spanish,1.79E+07
-14.3167,-75.65,Spanish,1790,Spanish,1.79E+07
-13.4833,-74.4667,Spanish,1790,Spanish,1.79E+07
-12.7,-75.7,Spanish,1790,Spanish,1.79E+07
-12.05,-76.85,Spanish,1790,Spanish,1.79E+07
-34.25,-74,Spanish,1790,Spanish,1.79E+07
42.4167,-11.5333,Spanish,1774,Spanish,1.77E+07
40.1167,-13.7833,Spanish,1774,Spanish,1.77E+07
37.05,-15.5667,Spanish,1774,Spanish,1.77E+07
35.6333,-16.5167,Spanish,1774,Spanish,1.77E+07
-43.95,-65.7333,Spanish,1790,Spanish,1.79E+07
-43.6,-61.65,Spanish,1790,Spanish,1.79E+07
-44.5,-62.4833,Spanish,1790,Spanish,1.79E+07
-44.0833,-61.8167,Spanish,1790,Spanish,1.79E+07
-33.1667,-84.9667,Spanish,1790,Spanish,1.79E+07
-32.1667,-83.4,Spanish,1790,Spanish,1.79E+07
-0.5,-18.7,Spanish,1790,Spanish,1.79E+07
-2.01667,-19.35,Spanish,1790,Spanish,1.79E+07
-22.2167,-71.5233,Spanish,1790,Spanish,1.79E+07
29.0167,-29.27,Spanish,1797,Spanish,1.80E+07
3.81667,-21.6833,Spanish,1782,Spanish,1.78E+07
-22.8833,-34.7333,Spanish,1788,Spanish,1.79E+07
32.5,-11.3167,Spanish,1788,Spanish,1.79E+07
-36.5167,-48.6833,Spanish,1782,Spanish,1.78E+07
-36.5667,-48.7667,Spanish,1782,Spanish,1.78E+07
-35.75,-49.8333,Spanish,1782,Spanish,1.78E+07
-35.0333,-50.1,Spanish,1782,Spanish,1.78E+07
-44.9333,-62.6167,Spanish,1791,Spanish,1.78E+07
-17.7667,-29.45,Spanish,1778,Spanish,1.78E+07
-16.1,-28.55,Spanish,1778,Spanish,1.78E+07
-18.95,-27.8333,Spanish,1778,Spanish,1.78E+07
-18.8333,-27.95,Spanish,1778,Spanish,1.78E+07
39.7667,-33.4167,Spanish,1789,Spanish,1.79E+07
39.8,-30.9,Spanish,1789,Spanish,1.79E+07
-51.3333,-66.3833,Spanish,1789,Spanish,1.79E+07
35.4833,-34.5167,Spanish,1778,Spanish,1.78E+07
36.9167,-32.9167,Spanish,1778,Spanish,1.78E+07
26.6833,-32.3867,Spanish,1789,Spanish,1.79E+07
5.8,-20.6,Spanish,1788,Spanish,1.79E+07
5.61667,-20.7667,Spanish,1788,Spanish,1.79E+07
43.1167,-11.6033,Spanish,1789,Spanish,1.79E+07
42.0833,-12.2367,Spanish,1789,Spanish,1.79E+07
40.5333,-13.92,Spanish,1789,Spanish,1.79E+07
39.35,-13.6867,Spanish,1789,Spanish,1.79E+07
38.3833,-14.3867,Spanish,1789,Spanish,1.79E+07
37.5667,-15.2867,Spanish,1789,Spanish,1.79E+07
14.1,-43.3,Spanish,1780,Spanish,1.78E+07
12.7167,-45.6333,Spanish,1780,Spanish,1.78E+07
11.25,-47.7667,Spanish,1780,Spanish,1.78E+07
-14.1167,-28.4333,Spanish,1778,Spanish,1.78E+07
-12.4,-28.2333,Spanish,1778,Spanish,1.78E+07
-11,-28.1,Spanish,1778,Spanish,1.78E+07
2.91667,-25.9,Spanish,1778,Spanish,1.78E+07
30.25,-11.4667,Spanish,1788,Spanish,1.79E+07
-23.1333,-40.2333,Spanish,1782,Spanish,1.78E+07
40.6667,-25.55,Spanish,1778,Spanish,1.78E+07
40.3333,-25.2833,Spanish,1778,Spanish,1.78E+07
40.1167,-24.2833,Spanish,1778,Spanish,1.78E+07
40,-22.25,Spanish,1778,Spanish,1.78E+07
40.2333,-20.1833,Spanish,1778,Spanish,1.78E+07
39.9667,-18,Spanish,1778,Spanish,1.78E+07
39.55,-16.6833,Spanish,1778,Spanish,1.78E+07
38.6667,-14.9167,Spanish,1778,Spanish,1.78E+07
36.8,-8.53333,Spanish,1778,Spanish,1.78E+07
-8.86667,-27.8833,Spanish,1788,Spanish,1.79E+07
-11.3333,-27.7167,Spanish,1788,Spanish,1.79E+07
-13.1833,-28.25,Spanish,1788,Spanish,1.79E+07
-14.6167,-28.7333,Spanish,1788,Spanish,1.79E+07
10.0667,-58.6167,Spanish,1780,Spanish,1.78E+07
20.5167,-81.1167,Spanish,1786,Spanish,1.79E+07
21.5833,-83.15,Spanish,1786,Spanish,1.79E+07
-27.35,-46.5667,Spanish,1776,Spanish,1.78E+07
-27.3167,-46.65,Spanish,1776,Spanish,1.78E+07
-26.9667,-45.9667,Spanish,1776,Spanish,1.78E+07
19.7167,-77.5833,Spanish,1786,Spanish,1.79E+07
22.1833,-87.15,Spanish,1786,Spanish,1.79E+07
22.75,-86.2667,Spanish,1786,Spanish,1.79E+07
-26.6333,-46.4667,Spanish,1776,Spanish,1.78E+07
-26.75,-46.75,Spanish,1776,Spanish,1.78E+07
6.16667,-20.65,Spanish,1788,Spanish,1.79E+07
37.8333,-51.2533,Spanish,1797,Spanish,1.80E+07
39.3667,-48.47,Spanish,1797,Spanish,1.80E+07
41.2,-45.3867,Spanish,1797,Spanish,1.80E+07
41.2,-45.3867,Spanish,1797,Spanish,1.80E+07
44.1,-22.5867,Spanish,1797,Spanish,1.80E+07
16.7667,-21.85,Spanish,1782,Spanish,1.78E+07
14.75,-22.0833,Spanish,1782,Spanish,1.78E+07
13.2167,-22.3,Spanish,1782,Spanish,1.78E+07
-54.4333,-66.3833,Spanish,1792,Spanish,1.78E+07
-52.5,-68.45,Spanish,1788,Spanish,1.79E+07
-46.0833,-60.65,Spanish,1788,Spanish,1.79E+07
-46,-60.05,Spanish,1788,Spanish,1.79E+07
-46.05,-59.7167,Spanish,1788,Spanish,1.79E+07
-45.65,-60.7833,Spanish,1788,Spanish,1.79E+07
-49.25,-90.1,Spanish,1790,Spanish,1.79E+07
-48.7667,-90.6333,Spanish,1790,Spanish,1.79E+07
-48.1167,-91.8,Spanish,1790,Spanish,1.79E+07
-27.4667,-46.4667,Spanish,1776,Spanish,1.78E+07
18.4833,-66.1333,Spanish,1786,Spanish,1.79E+07
19.3,-67.15,Spanish,1786,Spanish,1.79E+07
19.9,-69.15,Spanish,1786,Spanish,1.79E+07
-27.4667,-46.4167,Spanish,1776,Spanish,1.78E+07
-27.7667,-47.2667,Spanish,1776,Spanish,1.78E+07
-27.8167,-47.9333,Spanish,1776,Spanish,1.78E+07
