ShipName,Lon3,Lat3,UTC,VoyageIni,WindForce,StateSea,Weather,VoyageFrom,VoyageTo
SANTA PERPETUA,-26.3667,-13.4,1774031314,17740201,FRESQUITO,LLANA,HORIZONTES CLAROS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-27,-15.5167,1774031414,17740201,GALENO,PICADA,HORIZONTES CARGADOS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-27.65,-16.9667,1774031514,17740201,FRESQUITO,LLANA,CLARO,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-28.4167,-18.4,1774031614,17740201,BONANCIBLE,LLANA,HORIZONTES ACELAJADOS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-29,-19.8333,1774031714,17740201,FLOJO,LLANA,HORIZONTES NUBLADO,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-30.5167,-22.8333,1774031914,17740201,FLOJO,LLANA,HORIZONTES ACELAJADOS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-31.2667,-24.2833,1774032014,17740201,BONANCIBLE,LLANA,HORIZONTES ACELAJADOS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-31.7,-25.25,1774032114,17740201,BONANCIBLE,GORDA DEL SO Y OTRAS ALGO PICADA DEL NE,NUBLADO,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-32.1833,-25.9333,1774032214,17740201,FLOJITO,DEL NO Y SO,HORIZONTES NUBLADOS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-32.3167,-26.5333,1774032314,17740201,CALMOSO,SORDA DEL S,HORIZONTES CARGADOS Y LLOVIENDO,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-20.7333,4.05,1774022413,17740201,VENTOLINA MUY FLOJA,LLANA,CON NEBLINA,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-20.7667,3.56667,1774022513,17740201,CALMA,TENDIDA DEL N,HORIZONTES CARGADOS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-20.8333,3.15,1774022713,17740201,CALMA,"ENCONTRADA DEL NE, NO Y SE",CAEN ALGUNOS CHUBASCOS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-21.05,0.85,1774030113,17740201,FLOJO,ALGO PICADA AL N,HORIZONTES NUBLADOS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-21.1,0.666667,1774030213,17740201,FLOJO,MAREJADA DEL N,HORIZONTES CERRADOS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-20.9833,-0.783333,1774030313,17740201,BONANCIBLE,TENDIDA DEL N,"HORIZONTES CERRADOS, RELAMPAGOS DEL 4º Y 3º CUADRANTE",EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-21.5833,-1.41667,1774030413,17740201,BONANCIBLE,LLANA,HORIZONTES CARGADOS. CAEN CHUBASCOS DE NOCHE,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-22.07,-2.09,1774030512,17740201,BONANCIBLE,DEL VIENTO,HORIZONTES CARGADOS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-23.0333,-4.05,1774030714,17740201,CALMOSO,TENDIDA DEL SSE,HORIZONTES CALIMOSOS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-23.8167,-5.95,1774030814,17740201,FLOJITO,TENDIDA DEL SE,HORIZONTES CLAROS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-24.55,-7.78333,1774031014,17740201,FRESQUITO,ALGO PICADA DEL SE,HORIZONTES CLAROS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-25.2167,-9.65,1774031114,17740201,GALENO,LLANA,HORIZONTES DESPEJADOS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-25.95,-11.2,1774031214,17740201,GALENO,LLANA,CLARO,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-38.6,-35.5333,1774040215,17740201,FRESCO,GRUESA DEL SO,HORIZONTES ACELAJADOS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-38.2833,-35.7,1774040315,17740201,FRESQUITO,GRUESA DEL S,HORIZONTES ACELAJADOS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-42.65,-35.2167,1774040815,17740201,CALMOSO,LLANA,CLARO,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-48.3333,-35.35,1774041015,17740201,BONANCIBLE,LLANA,HORIZONTES ACHUBASCADOS. PASAN LA NOCHE CON MUCHA CERRAZON DE AGUA Y RELAMPAGOS POR EL E,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-48.3,-35.25,1774041115,17740201,FRESQUITO,GRUESA DEL VIENTO,HORIZONTES CARGADOS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-39.15,-36.4667,1774040415,17740201,CALMA,SORDA DEL S Y SO,HORIZONTES ACELAJADOS,EL FERROL,RIO DE LA PLATA
SANTA PERPETUA,-39.8167,-36.4667,1774040515,17740201,FRESQUITO,LLANA,"HORIZONTES ATURBONADOS, MAL CARIZ",EL FERROL,RIO DE LA PLATA
