VoyageFrom,VoyageTo,ShipName,Nationality,VoyageIni,UTC,Lat3,Lon3
Rio Berbice,Middelburg,Grenadier,Dutch,17520229,1752041416,26.8333,-54.9167
Plymouth,Halifax,Dunkirk,British,17550501,1755050613,45.5667,-17.13
Portsmouth,Cape Henry,Hornet,British,17550428,1755050613,45.4833,-15.29
Plymouth,Halifax,Dunkirk,British,17550501,1755051915,46.2833,-42.7133
Gamron,Cochin,Vlietlust,Dutch,17551230,1756020908,16.4833,63.32
Gamron,Cochin,Vlietlust,Dutch,17551230,1756021408,12.4,66.73
Batavia,Hellevoetsluis,Jerusalem,Dutch,17560113,1756071014,38.2,-36.5833
Batavia,Hellevoetsluis,Jerusalem,Dutch,17560113,1756072414,51.25,-25.5667
Batavia,Hellevoetsluis,Jerusalem,Dutch,17560113,1756080313,59.4167,-13.7167
Batavia,Hellevoetsluis,Jerusalem,Dutch,17560113,1756080413,60.4833,-10.5167
Batavia,Hellevoetsluis,Jerusalem,Dutch,17560113,1756080513,60.1167,-9.06667
Ziam,Malakka,Akerendam,Dutch,17561209,1756122006,2.23,102.23
Torbay,St Kitts,Hornet,British,17570317,1757042314,19.3833,-34.43
Madeira,St Augustine Bay,Newcastle,British,17570601,1757061414,-7.7,-29.4833
Madeira,St Augustine Bay,Newcastle,British,17570601,1757062414,-23.3167,-31.7333
Suriname,Middelburg,Vrouwe Johanna Cores,Dutch,17570730,1757081416,20.0333,-60.19
La Rochelle,Spithead,Dunkirk,British,17571002,1757101613,46.8,-14.9533
Dunnoze,Plymouth - cruising western approaches,Dunkirk,British,17571209,1757122313,46.4333,-11.9167
Middelburg,Batavia,Noordbeveland,Dutch,17581004,1759012512,-34.2333,4.35
Hellevoetsluis,St Eustatius,Dordregt,Dutch,17590704,1759072413,33.2833,-18.0333
Rotterdam,Colombo,Bos en Hoven,Dutch,17600330,1760033113,47.2333,-8.83333
Batavia,Rammekens,Noordbeveland,Dutch,17591101,1760060112,60.1,-4.9
Hellevoetsluis,Curacao,Princes Carolina,Dutch,17600610,1760072916,16.6667,-58.9
Plymouth,Malaga,Dordregt,Dutch,17601003,1760120512,NA,NA
,,Maarsen,Dutch,NA,1760121212,NA,NA
,,Maarsen,Dutch,NA,1760121312,NA,NA
,,Maarsen,Dutch,NA,1760121412,NA,NA
,,Maarsen,Dutch,NA,1760121512,NA,NA
,,Maarsen,Dutch,NA,1760121612,NA,NA
Malaga,Cartagena,Dordregt,Dutch,17601210,1760121612,NA,NA
,,Maarsen,Dutch,NA,1760122012,NA,NA
,,Maarsen,Dutch,NA,1760122312,NA,NA
,,Maarsen,Dutch,NA,1760122412,NA,NA
,,Maarsen,Dutch,NA,1760123012,NA,NA
,,Maarsen,Dutch,NA,1761010212,NA,NA
,,Schiedam,Dutch,NA,1761072412,NA,NA
,,Schiedam,Dutch,NA,1761072712,NA,NA
,,Schiedam,Dutch,NA,1761072812,NA,NA
Curacao,Hellevoetsluis,Schiedam,Dutch,17610923,1761101716,31.2333,-52.8833
Curacao,Hellevoetsluis,Schiedam,Dutch,17610923,1761110415,36.5167,-38.8
Hellevoetsluis,Paramaribo,Zephyr,Dutch,17630714,1763111515,4.7,-48.6167
Coastal Suriname,,Zephyr,Dutch,NA,1763120512,NA,NA
Coastal Suriname,,Zephyr,Dutch,NA,1763120712,NA,NA
Coastal Suriname,,Zephyr,Dutch,NA,1763120812,NA,NA
Porto Praija,Rio Sester,Boreas,Dutch,17710304,1771031313,7.2,-15.2333
,,Boreas,Dutch,NA,1771070512,NA,NA
,,Boreas,Dutch,NA,1771071612,1.63333,5.1
CÁDIZ,ISLA DE SANTA CATALINA (SANTA CATARINA-BRASIL?),DESCONOCIDO-15,Spanish,17761113,1777022112,NA,NA
CÁDIZ,ISLA DE SANTA CATALINA (SANTA CATARINA-BRASIL?),DESCONOCIDO-15,Spanish,17761113,1777022212,NA,NA
CÁDIZ,ISLA DE SANTA CATALINA (SANTA CATARINA-BRASIL?),DESCONOCIDO-15,Spanish,17761113,1777022312,NA,NA
CÁDIZ,ISLA DE SANTA CATALINA (SANTA CATARINA-BRASIL?),DESCONOCIDO-15,Spanish,17761113,1777022412,NA,NA
CÁDIZ,ISLA DE SANTA CATALINA (SANTA CATARINA-BRASIL?),DESCONOCIDO-15,Spanish,17761113,1777022512,NA,NA
CÁDIZ,ISLA DE SANTA CATALINA (SANTA CATARINA-BRASIL?),DESCONOCIDO-15,Spanish,17761113,1777022612,NA,NA
Gibraltar,Lissabon,Princes Louisa,Dutch,17770904,1777101612,NA,NA
Rotterdam,St Christoffel,Jason,Dutch,17771231,1778020414,20.9667,-30.0333
Rotterdam,St Christoffel,Jason,Dutch,17771231,1778021812,NA,NA
St Christoffel,Suriname,Jason,Dutch,17780328,1778042315,10.7833,-43.9167
,,Princes Maria Louisa,Dutch,NA,1778080512,NA,NA
Suriname,Middelburg,Haast U Langzaam,Dutch,17780708,1778080615,36.9667,-41.83
Curacao,Nieuwediep,Princes Louisa,Dutch,17780630,1778082612,50.55,NA
Suriname,Hellevoetsluis,Rotterdam,Dutch,17790217,1779022317,14.1833,-71
Suriname,Hellevoetsluis,Rotterdam,Dutch,17790217,1779050213,46.2,-15.5333
St Eustacius,Texel,Jason,Dutch,17790715,1779073016,32.4167,-55.1833
St Eustacius,Texel,Jason,Dutch,17790715,1779081814,43.8333,-29.4
,,Hector,British,17801005,1780100517,29.4333,-73.6367
,,Hector,British,17801005,1780101617,26.7167,-74.1867
Hellevoetsluis,Cayenne,Kemphaan,Dutch,17820208,1782020812,NA,NA
Rotterdam,Curaçao,Brak,Dutch,17820720,1782081513,34.5667,-15.75
Rotterdam,Curaçao,Brak,Dutch,17820720,1782100512,NA,NA
Coastal,,Wassenaar,Dutch,NA,1784053012,NA,NA
Straat Banka,Malakka,Juno,Dutch,17840523,1784060112,NA,NA
Coastal,,Wassenaar,Dutch,NA,1784060119,2,102.4
Coastal,,Wassenaar,Dutch,NA,1784060419,2,102.4
Coastal,,Wassenaar,Dutch,NA,1784060519,2,102.4
Coastal,,Wassenaar,Dutch,NA,1784060612,NA,NA
Coastal,,Wassenaar,Dutch,NA,1784060712,NA,NA
Coastal,,Wassenaar,Dutch,NA,1784060812,NA,NA
Coastal,,Wassenaar,Dutch,NA,1784060912,NA,NA
Coastal,,Wassenaar,Dutch,NA,1784061012,NA,NA
Coastal,,Wassenaar,Dutch,NA,1784061212,NA,NA
Coastal,,Wassenaar,Dutch,NA,1784061312,NA,NA
Coastal,,Wassenaar,Dutch,NA,1784061712,NA,NA
Coastal,,Wassenaar,Dutch,NA,1784061812,NA,NA
Coastal,,Wassenaar,Dutch,NA,1784062712,NA,NA
Coastal,,Wassenaar,Dutch,NA,1784071512,NA,NA
Coastal,,Wassenaar,Dutch,NA,1784072405,3.4,101.2
Coastal,,Wassenaar,Dutch,NA,1784072605,3.4,101.2
Coastal,,Wassenaar,Dutch,NA,1784072905,3.4,101.2
Hellevoetsluis,Porto Crajo,Ceres,Dutch,17851217,1785123013,37.0833,-13.0667
Axim,Suriname,Pollux,Dutch,17851004,1786020312,NA,NA
Del Fuego,Zuid Afrika,Scipio,Dutch,17860204,1786020412,NA,NA
Fort Royal,Hellevoetsluis,Pollux,Dutch,17860320,1786032112,16.4,NA
Porto Crajo,Simonsbaai,Ceres,Dutch,17860202,1786050710,-33.9833,14.56
Ceylon,Kaap de Goede Hoop,Ceres,Dutch,17880812,1788112409,-26.5333,50.7667
,,Ceres,Dutch,NA,1788122912,NA,NA
Vlissingen,Kaap de Goede Hoop,Goede Trouw,Dutch,17900119,1790012413,49.6,-8.13333
